id;name;salary;keyskills;area;employer;employementtime
80431819;Junior программист-разработчик на Python;250000.0;();Москва;НЬЮЭРАМЕДИА;full
80456354;Python разработчик (Junior);80000.0;('c', 'боты');Москва;Bewise.ai;full
80390377;Python Developer;200000.0;('боты');Москва;Млмедицина;full
80407128;Python Backend Developer;3000.0;('r', 'it', 'c', 'боты');Москва;Кварта-Рад;full
80280986;Разработчик SQL, Python + (дата инженер);200000.0;('r', 'c');Москва;Перспектива;full
80402635;Разработчик Python;150000.0;('r', 'разработка', 'ux', 'боты');Москва;Крибрум;full
80400921;Программист Python;85000.0;('r', 'it', 'ux', 'боты');Москва;РусЭкспресс;full
80458357;Python разработчик;85000.0;('python', 'r', 'боты');Москва;билайн;full
79605888;Программист Python;85000.0;('асинхронное программирование', 'многопоточность', 'боты');Москва;Студия Кефир;full
72216524;Python Backend Developer / WEB - разработчик;375000.0;('bash', 'ux', 'shell');Москва;Перфект Системс;full
80322494;Data Analyst (middle);240000.0;('ии', 'боты');Москва;Predicto;full
79248533;Python разработчик (Senior);350000.0;('c');Москва;Бизнес-Азимут;full
78838620;Python-разработчик;350000.0;('c');Москва;СБЕР;full
71147348;Разработчик C# / Python;400000.0;('pandas', 'numpy', 'r', 'sklearn', 'ar', 'боты');Москва;Дубайт;full
80412928;Data Scientist;300000.0;('ci', 'r', 'it', 'c');Москва;Aimers;full
79382076;Middle Python-разработчик;195000.0;('go', 'r', 'c');Москва;AERODISK;full
80356267;Jun+ Python Разработчик;120000.0;('go', 'it');Москва;Юг Руси;full
80376635;Python developer / Разработчик python;120000.0;('python', 'ии');Москва;IQnergy;full
80435321;Middle Python разработчик (удаленно);250000.0;();Москва;StormWall™;full
80437637;Data scientist;210000.0;('ci', 'r', 'it', 'c', 'scikit-learn', 'ar');Москва;L’etoile Digital;full
79436108;Python Backend Developer (Backend-разработчик);5000.0;('r', 'it', 'боты');Москва;Piepack.club;full
80428391;Data Scientist;350000.0;('r', 'c', 'ux');Москва;СБЕР;full
80408549;Python developer;350000.0;('go', 'r', 'it', 'algorithms', 'dl', 'middle');Москва;Ок Софт;full
80317692;Data Engineer (Senior);350000.0;('c', 'бэкенд', 'боты');Москва;Predicto;full
79824456;Senior Python Developer;350000.0;('ии', 'боты');Москва;Predicto;full
79909048;ML-разработчик;350000.0;('pandas', 'numpy', 'r', 'sklearn', 'ar');Москва;СБЕР;full
80050718;Middle разработчик Python / Django;100000.0;('go', 'r', 'c', 'боты');Москва;РА Дельта;full
79824429;Python-разработчик (Django);230000.0;('go', 'r', 'c', 'ar', 'боты');Москва;Российское общество Знание;full
80326015;Data Analyst (senior);325000.0;('ии', 'боты');Москва;Predicto;full
80305013;Аналитик данных (Python);230000.0;('it');Москва;Бристоль, сеть магазинов;full
77649538;Руководитель отдела разработки и тестирования / TeamLead команды разработки;350000.0;('docker', 'redis', 'rabbitmq', 'r', 'it', 'c', 'rabbit', 'mq', 'боты');Москва;CATAPULTO.RU;full
79550129;Аналитик / Data scientist;350000.0;();Москва;ЭКОПСИ Консалтинг;full
80458354;Junior Data Scientist (NLP);60000.0;('pandas', 'numpy', 'ci', 'c', 'scipy', 'боты');Москва;Bewise.ai;full
80241933;Middle Data Scientist;185000.0;('r', 'c');Москва;Автомакон;full
78363305;Программист-разработчик;225000.0;('r', 'sse');Москва;Реверслаб;full
79215601;Python-разработчик;225000.0;('go', 'боты');Москва;Ред Софт;full
80063522;Python developer (middle/senior), удаленно;250000.0;('pytest', 'боты');Москва;Сулак Капитал;full
80326968;Middle/Middle+ Python developer;275000.0;('sql', 'fastapi', 'api', 'sqlalchemy', 'c', 'fastap', 'api,');Москва;BigDataDuck;full
79365089;Python разработчик (удаленно);265000.0;();Москва;АйТиКвик;full
80285425;Data Scientist / Data Analyst;265000.0;('боты');Москва;LAD labs Ltd;full
80265758;Python-разработчик;265000.0;('go', 'r', 'it');Москва;URSiP;full
80298304;Python Backend Developer (Remote);240000.0;('go', 'боты');Москва;JetLend;full
80439583;Team Lead (Python/Golang);400000.0;();Москва;Эрливидео;full
80357630;Стажер в отдел разработки прикладного ПО;40000.0;('python', 'технолог', 'боты');Москва;Mediascope;probation
79577718;Data Scientist middle+/Senior;315000.0;('ml', 'нейронные сети', 'ии');Москва;Мамаева Ирина Анатольевна;full
80233961;Специалист по обработке данных / Data Engineer;140000.0;();Москва;СПЕЙС МЕДИА ГРУПП;full
79715736;Python developer;140000.0;('http', 'iohttp', 'amqp', 'mq', 'боты');Москва;НОВОСИСТЕМ;full
80306317;Python developer;250000.0;('python', 'программист');Москва;Staffwell;full
77149775;Программист Python;245000.0;('python', 'rest', 'go', 'r', 'технолог', 'nat', 'framework', 'боты');Москва;АЙТИ.СПЕЙС;full
80028912;Python-разработчик (Junior);70000.0;('r', 'it', 'c', 'высшее образование', 'боты');Москва;Щербин Алексей Сергеевич;full
80415898;Data-аналитик;200000.0;('r', 'c', 'acl', 'ии');Москва;ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР;full
80036283;Python - разработчик (Django);200000.0;('go', 'r');Москва;Группа Самолет;full
79909326;NLP Data Scientist;200000.0;('ии');Москва;СБЕР;full
79415326;Data Analyst (Remote);3500.0;('боты');Москва;Novakid Inc;full
79882602;Data engineer (middle+);400000.0;('алгоритмы', 'структуры данных', 'ии');Москва;Мамаева Ирина Анатольевна;full
76347722;Go/Python разработчик;160000.0;('ux', 'боты');Москва;SberTech;full
80321590;Middle Data Scientist (Sber AI Lab);272187.5;('pandas', 'numpy', 'pytorch', 'r', 'c', 'sklearn', 'ar', 'боты');Москва;СБЕР;full
80442138;Middle Python-разработчик сервисов со спутниковыми снимками;165000.0;('ux');Москва;Точных Приборов, НИИ;full
78739557;Python developer (FastAPI);250000.0;('r', 'it', 'c');Москва;КИБЕР-РОМ;full
