skills,amount,salarysum,value,salary
go,12312,1100717921.542425,89402.04041117811,20912.757990918857
python,10518,899419792.6956769,85512.43512984188,20002.908802302194
ux,9198,799282459.7690984,86897.41897902788,20326.88163252114
bash,3955,231469793.93689847,58525.86445939279,13690.260692255622
ci,5769,199625727.36224672,34603.176869864226,8094.310378915608
pandas,4014,182604907.00782883,45492.004735383365,10641.404616463944
numpy,3388,120797908.9285708,35654.63663771276,8340.265880166728
web,1324,107863064.24242432,81467.5711800788,19056.74179650966
ml,604,86842500.0,143778.97350993377,33632.50842337632
git,2071,86409824.79048616,41723.72032374996,9759.93457865496
pytest,1207,79393827.54703178,65777.81901162532,15386.624330204753
sql,1574,78339562.64430013,49771.00549193147,11642.340465948882
async,1733,71873002.01186498,41473.16907782168,9701.326100075246
ai,2181,65496033.8233972,30030.27685621146,7024.626165195663
dl,1142,64940583.3333334,56865.65966141278,13301.908692728137
js,801,62888131.50216261,78512.02434726918,18365.38581222671
sklearn,2008,60031658.92857127,29896.244486340274,6993.273564056204
oop,1317,60026575.64361788,45578.26548490347,10661.582569568065
orm,1074,53961916.66666668,50243.87026691497,11752.952109219876
ts,1252,53545264.808033854,42767.78339299829,10004.159858011297
backend,798,53404485.89003653,66922.91464916858,15654.482958869843
shell,1284,53320881.46409798,41527.16624929749,9713.95701737953
acl,1016,44685144.04761904,43981.44099175102,10288.05637233942
docker,1185,35556042.3160172,30005.0990008584,7018.73660838793
k8s,225,30757500.0,136700.0,31976.6081871345
rest,568,24403317.099567123,42963.58644289986,10049.961741029207
sse,296,24363703.655314542,82309.80964633293,19253.756642417058
aiohttp,1051,24081089.359986424,22912.54934346948,5359.660665139059
nginx,329,22994428.494406253,69891.87992220746,16348.977759580692
code review,372,22607083.33333334,60771.72939068102,14215.60921419439
solid,240,21760000.0,90666.66666666669,21208.57699805068
linux,689,21704517.536209207,31501.47683049232,7368.766510056682
spark,612,19972555.1948052,32634.89410915882,7633.893358867562
db,444,19765833.333333325,44517.64264264263,10413.48365909769
