name;Частота встречаемости/процент спроса;description;url;
Python;22.64;питoн или пaйтон,высокоуровневый язык программирования общего назначения с динамической строгой типизацией и автоматическим управлением памятью, ориентированный на повышение производительности разработчика, читаемости кода и его качества, а также на обеспечение переносимости написанных на нём программ. Язык является полностью объектно-ориентированным в том плане, что всё является объектами. Необычной особенностью языка является выделение блоков кода пробельными отступами. Синтаксис ядра языка минималистичен, редко возникает необходимость обращаться к документации.;https://ru.wikipedia.org/wiki/Python
Git;10.12;pаспределенное программное обеспечение для управления версиями. Контроль версий - это способ сохранять изменения с течением времени, не перезаписывая предыдущие версии. Распространение означает, что каждый разработчик, работающий с репозиторием Git, имеет копию всего этого репозитория - каждого коммита, каждой ветки, каждого файла.;https://ru.wikipedia.org/wiki/Git
ORM;16.62;технология программирования, которая связывает базы данных с концепциями объектно-ориентированных языков программирования, создавая «виртуальную объектную базу данных». Существуют как проприетарные, так и свободные реализации этой технологии.;https://ru.wikipedia.org/wiki/SQL
Django;8.89;бесплатный веб-фреймворк на основе Python с открытым исходным кодом, который следует за model–template–views. Основная цель Django - облегчить создание сложных веб-сайтов, управляемых базами данных. Фреймворк подчеркивает возможность повторного использования и "подключаемости" компонентов, меньшее количество кода, низкую степень связанности, быструю разработку и принцип "не повторяйся". Python используется повсюду, даже для настроек, файлов и моделей данных. Django также предоставляет необязательный административный интерфейс создания, чтения, обновления и удаления.;https://ru.wikipedia.org/wiki/Django
Linux;11.03;семейство Unix-подобных операционных систем на базе ядра Linux, включающих тот или иной набор утилит и программ проекта GNU, и, возможно, другие компоненты. Как и ядро Linux, системы на его основе, как правило, создаются и распространяются в соответствии с моделью разработки свободного и открытого программного обеспечения. Linux-системы распространяются в основном бесплатно в виде различных дистрибутивов — в форме, готовой для установки и удобной для сопровождения и обновлений,— и имеющих свой набор системных и прикладных компонентов,как свободных,так и проприетарных.;https://ru.wikipedia.org/wiki/Linux
English;5.32;важнейший международный язык. Является одним из наиболее распространённых языков в мире. Существует значительное разнообразие диалектов и говоров английского языка.;https://study-english.info/
Flask;4.25;фреймворк для создания веб-приложений на языке программирования Python, использующий набор инструментов Werkzeug, а также шаблонизатор Jinja2. Относится к категории так называемых микрофреймворков[en] — минималистичных каркасов веб-приложений, сознательно предоставляющих лишь самые базовые возможности.;https://flask.palletsprojects.com/en/2.3.x/
Docker;2.75;программное обеспечение для автоматизации развёртывания и управления приложениями в средах с поддержкой контейнеризации, контейнеризатор приложений. Позволяет «упаковать» приложение со всем его окружением[en] и зависимостями в контейнер, который может быть развёрнут на любой Linux-системе с поддержкой контрольных групп в ядре, а также предоставляет набор команд для управления этими контейнерами. Изначально использовал возможности LXC, с 2015 года начал использовать собственную библиотеку, абстрагирующую виртуализационные возможности ядра Linux — libcontainer.;https://ru.wikipedia.org/wiki/Docker
JavaScript;3.72;мультипарадигменный язык программирования. Поддерживает объектно-ориентированный, императивный и функциональный стили.JavaScript обычно используется как встраиваемый язык для программного доступа к объектам приложений. Наиболее широкое применение находит в браузерах как язык сценариев для придания интерактивности веб-страницам.Основные архитектурные черты: динамическая типизация, слабая типизация, автоматическое управление памятью, прототипное программирование, функции как объекты первого класса.На JavaScript оказали влияние многие языки.;https://dwweb.ru/javascript.html
OOP;2.75;методология программирования, основанная на представлении программы в виде совокупности взаимодействующих объектов, каждый из которых является экземпляром определённого класса, а классы образуют иерархию наследования.Идеологически, ООП — подход к программированию как к моделированию информационных объектов, решающий на новом уровне основную задачу структурного программирования: структурирование информации с точки зрения управляемости, что существенно улучшает управляемость самим процессом моделирования.;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%BD%D0%BE-%D0%BE%D1%80%D0%B8%D0%B5%D0%BD%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5
Rest;2.14;архитектурный стиль взаимодействия компонентов распределённого приложения в сети. Другими словами, REST — это набор правил того, как программисту организовать написание кода серверного приложения, чтобы все системы легко обменивались данными и приложение можно было масштабировать. REST представляет собой согласованный набор ограничений, учитываемых при проектировании распределённой гипермедиа-системы. В определённых случаях (интернет-магазины, поисковые системы, прочие системы, основанные на данных) это приводит к повышению производительности и упрощению архитектуры.;https://ru.wikipedia.org/wiki/REST
Bash;2.06;усовершенствованная и модернизированная вариация командной оболочки Bourne shell. Одна из наиболее популярных современных разновидностей командной оболочки UNIX. Особенно популярна в среде Linux, где она часто используется в качестве предустановленной командной оболочки. Представляет собой командный процессор, работающий, как правило, в интерактивном режиме в текстовом окне.Oн поддерживает автодополнение имён файлов и каталогов, подстановку вывода результата команд, переменные, контроль над порядком выполнения, операторы ветвления и цикла.;https://ru.wikipedia.org/wiki/Bash
Jira;4.96;коммерческая система отслеживания ошибок, предназначена для организации взаимодействия с пользователями, хотя в некоторых случаях используется и для управления проектами. Разработана компанией Atlassian, является одним из двух её основных продуктов (наряду с вики-системой Confluence). Имеет веб-интерфейс.;https://ru.wikipedia.org/wiki/Jira
Jupyter;2.75;проект по разработке программного обеспечения с открытым исходным кодом, открытых стандартов и сервисов для интерактивных вычислений на нескольких языках программирования. Он был выделен из Python в 2014 году Фернандо Пересом и Брайаном Грейнджером. Название проекта Jupyter является отсылкой к трем основным языкам программирования, поддерживаемым Jupyter, а именно Julia, Python и R. Его название и логотип являются данью уважения открытию Галилеем спутников Юпитера, что зафиксировано в записных книжках, приписываемых Галилею.;https://ru.wikipedia.org/wiki/Jupyter
